C. Autonoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Comunidad Valenciana,Castellon,Piso,Torreon - La Almadraba,128.0,3,398000
Comunidad Valenciana,Castellon,Chalet,Gran Avinguda Jaume I,744.0,5,750000
Comunidad Valenciana,Castellon,Piso,Calle Barranc del Diablo 2,61.0,2,215000
Comunidad Valenciana,Castellon,Chalet,montornes,800.0,3,585000
Comunidad Valenciana,Castellon,Chalet,Montornes - Las Palmas - El Refugio,3.0,5,850000
Comunidad Valenciana,Castellon,Chalet,barrio Zona Pau Lledo,542.0,5,950000
Comunidad Valenciana,Castellon,Chalet,Avenida de Francisco Jose Balada 22 ,241.0,6,745000
Comunidad Valenciana,Castellon,Chalet,Marcolina,84.0,3,590000
Comunidad Valenciana,Castellon,Chalet,Heliopolis - Eurosol,148.0,4,339000
Comunidad Valenciana,Castellon,Chalet,Heliopolis - Eurosol,272.0,4,595000
Comunidad Valenciana,Castellon,Piso,Torreon - La Almadraba,109.0,3,485000
Comunidad Valenciana,Castellon,Atico,Calle Botanic Calduch,154.0,4,230000
Comunidad Valenciana,Castellon,Duplex,Forcall 7,31.0,4,549000
Comunidad Valenciana,Castellon,Chalet,Calle Regne Unit 25,126.0,4,373500
Comunidad Valenciana,Castellon,Piso,Calle d'Herrero,125.0,4,89000
Comunidad Valenciana,Castellon,Chalet,Partida Roquetes,70.0,2,175000
Comunidad Valenciana,Castellon,Chalet,Camino dels Molins,260.0,3,430000
Comunidad Valenciana,Castellon,Piso,Avenida del Papa Luna,70.0,2,280000
Comunidad Valenciana,Castellon,Chalet,Camino de Manyetes 238 D,90.0,3,219000
Comunidad Valenciana,Castellon,Piso,Calle de Martinez de Tena 16,118.0,4,95000
Comunidad Valenciana,Castellon,Piso,Paseo Maritimo 13,63.0,2,210000
Comunidad Valenciana,Castellon,Piso,Calle Amplaries 5,63.0,2,126000
Comunidad Valenciana,Castellon,Piso,Amplaries 9,60.0,2,183000
Comunidad Valenciana,Castellon,Chalet,Manuel Sanchiz,370.0,3,534000
Comunidad Valenciana,Castellon,Chalet,Alcossebre,1000.0,3,449000
Comunidad Valenciana,Castellon,Piso,barrio Zona Estacion-Universidad,105.0,3,145000
Comunidad Valenciana,Castellon,Chalet,barrio Zona Pau Lledo,300.0,5,680000
Comunidad Valenciana,Castellon,Chalet,SANTA QUITERIA 5,133.0,4,179000
Comunidad Valenciana,Castellon,Piso,Heliopolis - Eurosol,64.0,2,229900
Comunidad Valenciana,Castellon,Duplex,Avenida de Valencia 85,102.0,3,139000
Comunidad Valenciana,Castellon,Chalet,barrio Zona Estadio Castalia,178.0,5,280000
Comunidad Valenciana,Castellon,Piso,Calle Fondo,70.0,3,220000
Comunidad Valenciana,Castellon,Chalet,Urbanitzacio Paraje Roquetes 18,475.0,3,210000
Comunidad Valenciana,Castellon,Chalet,IRLANDA,660.0,2,349000
Comunidad Valenciana,Castellon,Chalet,Camino CERVERA,127.0,5,299000
Comunidad Valenciana,Castellon,Chalet,Calle del Palillo,79.0,2,165000
Comunidad Valenciana,Castellon,Chalet,Avenida de Pau Bejar,88.0,3,420000
Comunidad Valenciana,Castellon,Duplex,Calle de Tarragona,117.0,3,140000
Comunidad Valenciana,Castellon,Chalet,Calle de la Navalla,123.0,4,360000
Comunidad Valenciana,Castellon,Chalet,Paseo de l'Estacio,383.0,6,420000
Comunidad Valenciana,Castellon,Piso,Zona Piscinas,136.0,4,106490
Comunidad Valenciana,Castellon,Duplex,Llandells Peniscola s/n,64.0,2,165000
Comunidad Valenciana,Castellon,Piso,Calle d'Castello 14,60.0,2,103000
Comunidad Valenciana,Castellon,Piso,barrio Parque Ribalta-Plaza de Toros,104.0,3,179000
Comunidad Valenciana,Castellon,Duplex,Calle de Cerc,18.0,3,255000
Comunidad Valenciana,Castellon,Atico,Pueblo,12.0,2,119000
Comunidad Valenciana,Castellon,Chalet,Zona Playa,589.0,5,600000
Comunidad Valenciana,Castellon,Piso,Calle na Violant d'Hongria,73.0,2,120000
Comunidad Valenciana,Castellon,Atico,Calle Sanahuja,124.0,3,399000
Comunidad Valenciana,Castellon,Piso,Calle deTarragona,110.0,3,245000
Comunidad Valenciana,Castellon,Piso,Calle del Riu Palancia,96.0,3,138900
Comunidad Valenciana,Castellon,Chalet,Alcossebre,23.0,3,380000
Comunidad Valenciana,Castellon,Piso,barrio Ciutat del Transport-La Salera,108.0,3,137000
Comunidad Valenciana,Castellon,Piso,Calle la Carrasca,115.0,3,240000
Comunidad Valenciana,Castellon,Atico,Calle na Violant d'Hongria 17,49.0,1,68000
Comunidad Valenciana,Castellon,Piso,Playa norte,55.0,1,195000
Comunidad Valenciana,Castellon,Piso,barrio Zona Hospital-Plaza del Real,82.0,3,68900
Comunidad Valenciana,Castellon,Piso,barrio Zona Hospital-Plaza del Real,85.0,2,145000
Comunidad Valenciana,Castellon,Chalet,barrio Zona Pau Lledo,152.0,4,430000
Comunidad Valenciana,Castellon,Piso,barrio Aguamarina,79.0,2,85000
Comunidad Valenciana,Castellon,Chalet,El Balco - Jaume I,1.9,5,795000
Comunidad Valenciana,Castellon,Piso,barrio Zona Av. del Mar,65.0,2,93000
Comunidad Valenciana,Castellon,Chalet,Torre Bellver - La Renega - Les Platgete'S,215.0,6,775000
Comunidad Valenciana,Castellon,Chalet,Montornes - Las Palmas - El Refugio,87.0,3,700000
Comunidad Valenciana,Castellon,Piso,Calle Riu Tamesis,85.0,2,172900
Comunidad Valenciana,Castellon,Piso,Avenida dels Germans Bou,131.0,3,150000
Comunidad Valenciana,Castellon,Chalet,Avenida d'Hongria,159.0,3,290000
Comunidad Valenciana,Castellon,Atico,Noruega,226.0,3,430000
Comunidad Valenciana,Castellon,Piso,Calle de Lepant,86.0,3,89000
Comunidad Valenciana,Castellon,Piso,Avenida de Borriana,119.0,3,80000
Comunidad Valenciana,Castellon,Piso,Calle de l'IIla Baleato,87.0,3,154000
Comunidad Valenciana,Castellon,Piso,Calle d'Herrero,93.0,3,150000
Comunidad Valenciana,Castellon,Piso,Calle del Riu Danubi,93.0,3,219000
Comunidad Valenciana,Castellon,Piso,Calle dels Quatre Termes 111 D,86.0,3,250000
Comunidad Valenciana,Castellon,Chalet,Calle de la Penya Ventosa 28,88.0,3,263000
Comunidad Valenciana,Castellon,Chalet,Calle de Dalt,127.0,4,100000
Comunidad Valenciana,Castellon,Chalet,Zona Playa de la Concha,177.0,5,649000
Comunidad Valenciana,Castellon,Piso,barrio Acapulco,70.0,2,145000
Comunidad Valenciana,Castellon,Piso,Calle Regne Unit 10,15.0,3,99000
Comunidad Valenciana,Castellon,Piso,CATALUNA,73.0,2,140000
Comunidad Valenciana,Castellon,Piso,CATALUNA,61.0,2,140000
Comunidad Valenciana,Castellon,Chalet,Montornes - Las Palmas - El Refugio,65.0,3,1400000
Comunidad Valenciana,Castellon,Duplex,Las Atalayas - Urmi - Cerro Mar,267.0,4,380000
Comunidad Valenciana,Castellon,Chalet,barrio Casco Historico,142.0,4,55000
Comunidad Valenciana,Castellon,Chalet,Els Terrers,154.0,4,550000
Comunidad Valenciana,Castellon,Piso,barrio Zona Ensanche-Parque oeste,159.0,4,87000
Comunidad Valenciana,Castellon,Chalet,Zona Piscinas,147.0,4,680000
Comunidad Valenciana,Castellon,Chalet,Casco Antiguo,155.0,4,243500
Comunidad Valenciana,Castellon,Piso,Parque Sensal,68.0,2,179000
Comunidad Valenciana,Castellon,Chalet,Casco Urbano,150.0,4,345000
Comunidad Valenciana,Castellon,Duplex,barrio Costa Marfil,150.0,4,288000
Comunidad Valenciana,Castellon,Atico,Calle Rey Lobo 1,20.0,5,260000
Comunidad Valenciana,Castellon,Piso,Calle Castelldefels,85.0,3,95000
Comunidad Valenciana,Castellon,Piso,Avenida del Papa Luna 147 B,71.0,2,145000
Comunidad Valenciana,Castellon,Piso,Avenida Papa Luna,74.0,2,395000
Comunidad Valenciana,Castellon,Chalet,Avenida de Noruega 1,90.0,3,425000
Comunidad Valenciana,Castellon,Piso,Avenida Hermanos Bou 4,93.0,3,150000
Comunidad Valenciana,Castellon,Chalet,Calle general aranda,67.0,2,175000
Comunidad Valenciana,Castellon,Duplex,Avenida papa luna,74.0,2,175000
Comunidad Valenciana,Castellon,Piso,Calle Doctor Jorge Comin,30.0,4,350000
Comunidad Valenciana,Castellon,Atico,Urbanizacion Monte Pichells,71.0,2,125000
Comunidad Valenciana,Castellon,Piso,realenc,72.0,2,105000
Comunidad Valenciana,Castellon,Chalet,Calle Haiti,111.0,3,165000
Comunidad Valenciana,Castellon,Piso,Avenida Ermita San Antonio,77.0,2,153000
Comunidad Valenciana,Castellon,Duplex,irlanda,65.0,2,189000
Comunidad Valenciana,Castellon,Atico,Avenida central,11.15,4,288000
